cj_preshway,CMG,CNH,CS,DMS,EG,GMR,GS,HB,HRS,Imbc,JW,JYP Ent,KB,KCC,KCI,KD,KG_M,KG_E,KH,KMH_hitex,KTH,KT,KOSPI
8770,3448,3160,4680,10800,24015,2172851,76100,2370,8930,3630,10196,11300,3450,41690,4553,380016,5573,3535,6975,2424,5300,2070,881.030029
8650,3627,3180,4725,11200,25173,2239176,77100,2300,9060,3710,10327,10900,3543,40989,4601,390581,5637,3640,6935,2478,5300,2050,869.349976
8590,3424,3025,4600,10200,20456,2342298,73300,2110,8270,3630,9635,10150,3403,40873,5201,384544,5500,3700,6474,2439,5350,2060,900.710022
8400,3542,2865,4495,10700,25731,2519074,71000,2270,7860,3530,9548,10350,3506,39004,4318,359130,5371,3645,6233,2400,5290,2030,864.609985
8450,3174,3000,4460,10450,28304,2449049,69000,2160,7010,3520,9893,10150,3450,37836,4229,375233,5225,3600,6053,2246,5380,2000,844.109985
8390,3306,2870,4410,10650,23157,2467478,68000,2275,7060,3370,8987,8920,3348,38187,3917,367173,5096,3560,6293,2211,5060,1942,866.140015
8360,3481,2890,4650,10800,23758,2272273,70000,2055,6880,3440,9506,9150,3390,38537,4051,332703,5271,3560,6714,2284,5150,1956,874.530029
8460,3278,2815,4555,10600,24187,2312831,69500,2105,6620,3450,8727,9140,3515,38011,4010,358615,5133,3650,6654,2315,5150,1978,856.059998
8640,3297,2740,4545,10400,21399,2154422,68700,2200,7490,3450,8857,8650,3515,37719,4002,374478,5087,3630,6975,2226,5120,2020,850.359985
8470,3193,2800,5100,10600,21785,1889254,70500,2120,7700,3810,9073,8640,3520,38770,3897,370191,5078,3690,6834,2222,5530,1998,843.309998
8430,3249,2740,4830,10600,21356,1962909,69500,2100,7300,3720,9462,8400,3487,37895,3848,351069,4812,3480,6413,2211,5330,1998,null
8680,3774,2675,4630,10900,21399,2290702,70500,2000,7160,3790,9073,8220,3515,39121,3986,375731,4721,3700,6534,2253,5530,1980,864.780029
8200,3684,2460,4300,10150,20584,2209718,71200,2120,6830,3680,8381,7920,3403,39121,3807,406684,4400,3745,6053,2207,6000,1976,909.809998
8460,4057,2595,4255,10900,20070,2312831,70600,2135,6810,3660,8477,7920,3674,38128,3775,380771,4546,3710,6113,2246,6510,1938,907.559998
8460,3608,2430,4200,11000,19555,2331198,70700,2405,5960,3600,7906,7940,3352,38245,3483,365920,4500,3615,6213,2230,7000,1970,907.01001
8490,3504,2470,4060,11050,23329,2194980,72600,2560,5560,3515,7949,7950,3292,40756,3556,372214,4482,3750,6153,2199,6680,1960,895.929993
8240,3485,2400,4230,11750,22514,2172851,74300,2760,6350,3480,7967,7340,3637,40756,3645,352323,4611,3950,6313,2215,7800,1880,922.710022
8500,3613,2615,4250,11500,22300,2099189,75300,2700,6250,3500,8037,6950,3259,39646,3483,358615,4666,4000,6253,2230,7800,1840,902.309998
8430,3348,2670,4450,11300,25173,1828888,75300,2635,6200,3445,8253,6910,3310,39880,3443,339494,4583,3970,6253,2238,7700,1850,890.869995
8600,3485,2700,4460,11300,23758,1830329,73500,2610,6380,3350,8597,7220,3292,40873,3354,343765,4592,3960,6454,2253,7500,1880,843.140015
8460,3353,2825,4500,11300,27189,1753037,72600,2550,6400,3375,8857,7200,3441,40230,3394,335207,4560,4000,6333,2246,7170,1880,837.349976
8560,3561,2835,4520,11200,26588,1810451,73800,2340,6750,3410,8900,7320,3310,39413,3500,335207,4533,3870,6494,2261,7620,1860,847.900024
8590,3400,2560,4620,11500,25988,1734608,74900,2265,6710,3440,8814,6910,3357,39296,3645,343765,4537,3970,6614,2234,8250,1890,864.359985
8400,3674,2700,4870,11100,22729,1620457,74700,2205,6510,3525,8943,6690,3431,39588,3581,345531,4601,3970,6454,2242,7840,1858,862.679993
8510,3741,2690,4880,10600,22300,1605720,75000,2240,6600,3500,9332,7100,3450,38070,3520,336974,4656,3840,6133,2230,7770,1836,850.909973
8520,3769,2590,4670,10300,17411,1467937,74700,2220,6450,3685,9030,6830,3371,37895,3726,336974,4739,3740,6233,2164,7940,1834,869.880005
8350,3920,2570,4700,10250,14495,1350086,74000,2100,6080,3615,8477,6510,3320,38887,3564,326651,4592,3550,5933,2242,7400,1820,888.890015
8440,4260,2555,4705,10250,16639,1362619,73200,2335,6300,3750,8727,6310,3390,40289,3621,327165,4505,3600,5993,2246,7500,1888,876.929993
8470,3778,2495,4715,10600,15395,1313282,73200,2690,6050,3760,8814,6690,3450,39997,3581,309294,4519,3565,5933,2129,7240,1838,893.130005
8370,4189,2530,4860,10700,15610,1325823,75100,2640,6180,3680,9030,6730,3385,40055,3698,308027,4578,3550,5752,2234,7470,1810,886.51001
8300,3826,2540,4510,10100,15738,1325823,69600,2200,5850,3630,8554,6810,3431,39062,3609,280846,4404,3500,5251,2156,7150,1940,886.690002
8450,4336,2530,4540,10300,16982,1355289,69200,2355,5900,3670,9679,6820,3450,40873,3447,277331,4358,3490,5351,2207,7270,1800,905.590027
8550,4699,2430,4495,9990,14409,1311093,67100,2275,6100,3660,9030,7250,3357,40873,3479,288906,4235,3500,5311,2187,7320,1762,872.02002
8500,4846,2510,4445,10200,13208,1130617,68300,2315,6510,3650,9419,7000,3380,40873,3508,299984,4345,3700,5131,2207,7770,1792,866.75
8480,5054,2510,4515,10250,12436,963430,70000,2295,6970,3750,9203,6700,3366,41048,3605,298714,4253,3740,5211,2323,7630,1728,835.23999
8310,5573,2520,4470,10000,12693,968571,69400,2235,6750,4015,9030,6650,3329,41048,3645,306775,4322,3770,5491,2311,7500,1676,835.23999
8340,5498,2410,4510,9990,12779,968571,67500,2200,6790,4010,9245,6690,3334,40639,3690,291425,4565,3750,5331,2400,7350,1750,827.22998
8400,5432,2430,4500,10400,12693,992897,67900,2300,6850,4220,9419,6680,3278,43208,3706,275323,5454,3800,5371,2598,7500,1820,811.380005
8360,5101,2415,4410,10000,14237,1023796,65200,2150,6460,4070,9679,6880,3264,42391,3783,280347,5271,3800,5331,2664,7800,1836,861.719971
8450,5082,2410,4435,10300,13808,1067992,65700,2175,6450,4050,9548,6960,3189,42157,3990,299984,5326,3830,5431,2548,8050,1818,864.650024
8460,4988,2450,4255,10000,13037,1075392,63900,2235,6150,3960,9679,7390,3338,42799,3678,294941,5069,3845,5171,2718,7780,1808,841.159973
8430,4912,2440,4265,9830,12779,1062851,64000,2100,6450,3915,9635,7450,3217,44551,3807,298714,5023,3750,5131,2641,7590,1808,null
9200,4581,2450,4110,9590,12951,953842,66400,2190,6630,3870,9290,7050,3217,43208,3735,285887,4904,3770,4870,2668,7640,1918,808.460022
9200,4940,2465,4290,9810,12693,985489,67000,2165,7120,3845,9764,7350,3133,42507,3888,286386,5161,3770,5091,2679,7770,1838,762.960022
9110,5243,2440,4350,9880,13208,975901,64900,2060,7080,3840,9808,7890,3226,41982,3933,278342,5087,3700,4930,2784,7900,1840,738.099976
8710,5101,2570,4225,9340,12265,854412,64600,2200,6990,3700,9116,7150,3077,42157,3678,273060,4785,3795,4289,2869,7600,1860,767.27002
8710,5186,2485,4030,9320,11578,850720,63900,2160,7050,3600,9073,7400,3217,40873,3629,246375,4574,3730,4309,2788,7650,1930,752.039978
8600,5006,2460,3965,8600,11150,821254,63900,2070,6900,3415,8987,6610,3002,39880,3524,246375,4445,3610,3856,2594,7460,1840,764.809998
8700,5025,2380,3960,8810,10807,819750,62200,2040,6680,3500,9073,6740,2937,39121,3374,245125,4537,3850,3904,2497,7100,1830,767.049988
9180,5195,2450,3820,8610,10120,762329,61100,2120,6450,3480,8685,6700,3124,39004,3390,231027,4377,3730,3848,2579,7000,1830,738.559998
9000,5243,2425,4010,9080,10892,828583,60900,2065,6470,3565,8857,6630,2993,39471,3346,192769,4510,3680,3912,2548,7020,1820,751.890015
8710,4884,2440,3860,8570,10463,824961,60400,2200,6000,3410,8295,6780,2993,38887,3285,158282,4290,3600,3888,2478,6720,1834,699.289978
8540,4893,2310,3890,8650,10292,751299,59000,2100,5620,3335,8123,5800,2872,39121,3151,157030,4143,3470,3767,2397,6550,1780,698.059998
8700,4666,2225,4005,8660,10635,721832,60000,1990,5550,3355,7906,5670,2881,39588,3042,150239,4225,3650,3691,2362,6780,1792,null
8790,4666,2425,4050,9030,12007,854412,60900,1960,5720,3450,8468,5740,3030,37953,3240,187229,4345,3625,3799,2633,7150,1800,731.76001
8800,4581,2495,4230,8890,10978,835991,60500,2100,6080,3380,8468,5780,3077,36435,3313,220447,4583,3700,3807,2706,7090,1796,751.070007
8550,4534,2440,3960,8800,11493,793984,59600,2000,5770,3350,8148,5710,2984,36085,3159,188498,4766,3650,3619,2602,6970,1774,753.179993
8730,4005,2515,3925,8620,10892,754929,60000,1965,5550,3370,7906,5990,2923,36668,3159,167596,4950,3690,3507,2594,7130,1764,null
8500,3400,2400,3610,8000,9949,743899,58800,1950,5380,3395,7354,5780,3054,36552,2916,157030,4996,3545,3327,2524,7180,1746,759.150024
8530,3410,2410,3750,8160,10292,758629,60000,2250,5380,3385,7483,5570,2844,36610,3038,185979,5197,3635,3387,2594,7600,1810,768.01001
8640,3570,2375,3755,8280,10549,703403,59200,1965,5240,3345,7389,5640,2891,35793,3111,178673,5032,3755,3459,2625,7800,1800,757.359985
8600,3665,2380,3785,8540,10892,724029,59400,2095,5300,3385,7578,5860,3016,34566,3062,169875,4766,3800,3511,2594,7700,1724,null
8440,3604,2290,4000,8480,10335,738758,59300,2095,5100,3420,7569,5990,2947,31238,3078,173647,4546,3885,3483,2400,7510,1740,762.799988
9150,3807,2260,3905,8530,10463,743899,59300,2040,5150,3390,7578,6500,2844,30829,3111,164335,4221,3780,3471,2610,7580,1714,737.210022
8860,4156,2550,3950,8640,10421,788087,59600,2030,4995,3400,7690,7090,2928,30070,3119,174146,4093,3935,3571,2366,8100,1730,729.099976
8600,4714,2590,4170,8400,10120,828583,59000,2055,4910,3380,7578,7470,2891,31764,3119,172378,3859,3930,3843,2435,8180,1798,752.52002
8700,4666,2610,4250,8510,10120,786654,58800,2010,5790,3380,7483,7120,2825,32114,3119,171880,3831,3995,3767,2400,8230,1700,705.619995
8610,4444,2600,4070,8780,11150,799125,59000,2000,6480,3360,7543,7180,2984,31822,3180,177919,3992,3990,3791,2451,8400,1600,712.130005
8700,4638,2425,4080,8850,11621,834480,58900,2150,6330,3400,7500,6990,2937,31472,3175,176665,3987,4050,3956,2586,8180,1656,715.549988
8710,4487,2585,4090,8800,11150,869150,59200,2075,6500,3535,7526,7050,2947,31063,3240,165588,4033,4120,3964,2548,7780,1564,674.030029
8890,4487,2515,4080,8650,10849,810224,60400,2060,6500,3565,7475,6930,2965,30304,3402,142934,4111,4120,4008,2478,8400,1626,669.210022
9010,4534,2410,4010,8630,10721,780758,59300,2150,6300,3630,6990,6910,2956,30362,3240,130603,4060,4120,4008,2462,8800,1630,696.690002
9030,4392,2450,4085,8490,11064,746096,59300,2090,6170,3610,7016,6810,2951,29895,3151,143447,4120,4120,4008,2672,9180,1600,690.539978
9260,4251,2250,3795,8580,10549,810224,59900,2110,6500,3660,6489,6770,2900,30946,3200,159552,4083,4195,4049,2691,8850,1560,627.400024
9130,4151,2375,3905,8520,10678,817554,59100,2095,6710,3545,6091,6700,2886,30537,3252,205098,3960,4300,3968,2788,8650,1560,668.650024
9250,4048,2385,3835,8700,10335,771925,58800,2015,6860,3580,6075,6700,2853,30829,3317,235297,4363,4590,4004,2726,8540,1626,708.039978
9140,4104,2180,3850,8840,10421,795495,57100,2080,6700,3600,6135,6550,2872,31530,3354,246375,4207,4550,4089,2683,8760,1634,730.549988
9130,4336,2335,3715,8840,10506,790284,56600,2140,7000,3495,5996,6490,2909,31588,3212,291924,4051,4360,4289,2582,8300,1640,759.219971
9300,4430,2270,3850,8910,11150,749788,56600,2310,6810,3455,5703,6370,2769,32289,3297,314320,4148,4350,4409,2633,8300,1638,778.47998
9260,4208,2280,3760,8930,10978,747599,57000,2320,6510,3485,5858,6350,2863,33515,3248,262993,4134,4490,4429,2582,8450,1634,null
9550,4161,2290,3740,8900,11278,747599,56700,2440,6750,3560,5703,6370,2723,33982,3317,261226,4111,4490,4589,2695,8230,1616,798.22998
9900,4151,2320,3845,9300,10764,732870,56100,2250,6540,3430,5866,6500,2769,33749,3281,221715,3969,4205,4249,2664,8230,1620,825.559998
9890,4156,2410,3770,9530,10892,736562,56100,2210,6410,3440,6394,6800,2788,33107,3273,208870,3877,4300,4049,2555,7940,1608,800.280029
10100,4109,2330,3700,9450,10035,681274,55500,2050,5800,3380,6048,6650,2737,31472,3078,197040,3749,4230,3968,2582,8000,1482,851.059998
10400,4099,2565,3750,9760,10463,725462,55300,2075,6320,3445,6480,7100,2779,32114,3159,172378,3941,4400,4269,2672,8300,1578,833.179993
10150,3967,2550,3700,9550,10077,716629,56400,2050,5930,3420,6307,7640,2816,31121,3099,150239,3895,4500,4008,2637,8040,1598,814.049988
10200,4071,2570,3610,9700,10678,845579,56100,2040,6220,3360,6160,7600,2788,31822,3143,160050,3923,4620,4109,2683,8110,1580,814.619995
9810,4062,2645,3505,9480,10206,816113,55900,2050,5950,3340,6048,6820,2774,31355,3038,157528,3877,4370,3932,2598,8530,1516,759.580017
9800,4062,2500,3350,9300,8705,869150,56700,2095,5650,3200,5961,6120,2741,30654,3013,152006,4028,4250,3831,2625,8400,1536,748.469971
10200,4052,2510,3435,10100,8319,821254,56400,2125,5870,3210,6238,6280,2765,30537,3143,132868,4180,4450,3964,2532,8650,1528,772.97998
9730,4156,2570,3270,10450,8748,812421,56100,2005,5770,3215,6229,6260,2634,29662,3050,130603,3987,4340,4229,2404,8400,1518,793.669983
10250,4156,2490,3300,10400,9563,850720,55800,2040,6030,3250,6091,6180,2741,30070,2989,130603,4015,4460,4529,2451,8300,1520,795.080017
10400,4194,2645,3335,10450,9992,909646,56100,2035,5870,3295,6048,6100,2685,30946,3115,101415,3946,4415,4589,2455,8290,1558,772.179993
10300,4071,2665,3335,9860,11064,865450,57500,1985,6150,3300,6351,6170,2667,30771,3147,110214,4125,4420,4589,2443,8290,1490,782.280029
10300,4109,2735,3340,8900,12693,812421,57900,1940,6100,3300,6368,6050,2732,30654,3143,103424,4248,4460,4669,2400,8430,1478,799.580017
10100,4052,2700,3305,8840,14666,882368,58500,1915,6200,3290,6333,5920,2639,30070,3111,88573,4033,4350,4870,2408,8220,1460,810.440002
10000,4071,2795,3285,8350,13680,827150,58300,1920,6130,3255,5980,6080,2657,30421,3005,90339,4038,4275,4930,2404,8090,1492,828.590027
9900,4014,2805,3410,8390,14323,834480,60100,1880,6050,3210,6359,6070,2657,30888,3022,89840,4088,4520,4930,2474,7950,1508,815.030029
10000,3967,2830,3410,8540,13294,821254,63100,1960,6200,3210,6256,6500,2657,30304,3078,93358,4203,4550,4971,2478,8180,1540,824.830017
9750,3948,2830,3610,8600,12908,816113,62000,1985,6400,3240,6177,6530,2704,30246,3103,88076,4244,4780,4830,2478,8100,1616,840.200012
9840,3915,2930,3510,8900,12608,834480,61000,1910,6090,3180,6014,6490,2751,29837,3001,86822,4313,4800,4830,2331,8130,1524,818.400024
9960,3774,2940,3460,8630,13208,852917,60400,1910,5870,3250,6065,6710,2825,30129,2961,86822,4225,4840,4870,2470,8250,1468,822.76001
9780,3750,2875,3450,8480,11750,843321,60900,1865,5860,3265,5945,7110,2797,29662,3005,85555,4166,5030,4769,2455,8240,1452,841.5
9960,3712,2775,3410,8670,12651,816113,61200,1860,6030,3345,6030,7250,2769,29837,3046,90339,4198,4950,4769,2431,8400,1426,847.599976
9990,3755,2530,3490,8670,13808,806524,61000,1895,6150,3340,5866,7280,2783,30362,3026,87319,4166,4970,4689,2590,8260,1454,856.169983
10100,3674,2640,3485,8830,14623,773358,61800,1905,6160,3330,5910,7280,2755,30829,2993,82536,4207,4880,4749,2575,8300,1430,841.150024
10100,3693,2570,3410,8510,12908,780758,61000,1885,6200,3280,5832,7280,2695,30362,2973,81284,4212,4845,4649,2594,8040,1478,840.450012
10050,3731,2180,3315,8400,11836,775555,60700,2000,6340,3245,5703,7280,2699,29837,3005,77511,4216,4810,4509,2745,7960,1468,847.599976
10000,3670,2400,3365,8400,11192,749788,61500,1980,5950,3300,5417,7280,2732,29662,3013,74476,4390,4885,4529,2826,8140,1470,null
9980,3599,2310,3345,8380,11321,762329,62200,1980,5920,3280,5434,7280,2732,29720,3042,86068,4542,5050,4449,2850,8370,1410,822.299988
9900,3542,2300,3395,8400,10807,754929,64100,2060,5910,3310,5443,7280,2690,29428,3086,106956,4519,5020,4529,2633,8200,1494,806.75
9750,3863,2375,3395,8370,10978,769666,64400,2110,6170,3320,5771,7280,2751,29545,3078,113248,4423,5100,4749,2703,8310,1416,786.219971
9950,4156,2390,3345,8500,10721,766028,63200,2030,6050,3360,5529,7280,2797,29778,3184,99153,4400,5060,4971,2672,8730,1468,785.97998
9800,3901,2370,3340,8440,10892,740199,62600,2100,6050,3380,5615,7280,2788,29428,3240,97884,4299,5070,4769,2737,9250,1494,766.440002
9870,3873,2330,3365,8380,10807,754929,63000,2110,6210,3355,5961,7280,2774,30012,3406,98398,4180,5150,4890,2648,9050,1500,730.48999
9760,3670,2395,3335,8400,10807,720329,64000,2110,6080,3340,5798,7280,2774,29720,3289,99153,4028,5140,4830,2668,8490,1460,742.450012
9760,3826,2450,3310,8320,10807,707103,64800,2070,6220,3400,5850,8375,2835,29311,3305,103938,4093,5100,4749,2668,8420,1476,730.76001
9730,3811,2360,3230,8170,10335,683533,64100,2030,6180,3500,5771,9625,2807,30362,3443,119284,4033,5150,4850,2637,8450,1502,706.559998
9730,3944,2430,3280,8200,10335,651808,65400,2000,6380,3435,6282,8050,2830,29486,3273,114502,4102,5240,4810,2579,8520,1506,686.349976
9730,3741,2500,3330,8600,10592,651808,65300,2130,6350,3400,5477,7275,2797,30479,3281,109460,4152,5450,5271,2517,8650,1520,710.049988
10100,3811,2500,3320,8770,10506,651808,64500,2190,6160,3395,5961,8375,2797,31180,3224,100405,4088,5300,5311,2664,8550,1510,723.320007
10000,3906,2510,3405,9140,10549,651808,64700,2180,6110,3380,5823,8400,2974,31238,3281,93358,4088,5250,5491,2842,8870,1510,734.48999
9900,3826,2455,3355,9000,10292,651808,65200,2200,5880,3265,5608,7875,2970,29720,3419,93358,4019,5120,5471,2644,8770,1524,717.140015
9890,3807,2420,3365,9350,11922,651808,67000,2165,5850,3290,5443,8225,2993,30713,3386,93358,4079,5200,5692,2834,8600,1522,693.5
9790,3684,2400,3380,9290,10892,651808,67400,2110,5760,3260,5357,7350,2974,30654,3443,93358,4308,5230,5732,2819,8770,1520,676.219971
9800,3741,2340,3335,9240,11021,651808,68100,2095,5750,3320,5521,7175,2961,29662,3532,93358,4134,5280,5692,2788,10000,1504,677.219971
9640,3684,2290,3360,9050,11664,651808,66300,2115,5540,3340,5287,6600,3105,29662,3722,93358,4106,5150,5772,3032,9700,1494,710.309998
9550,3764,2250,3365,9220,11793,651808,68300,2050,5270,3300,5235,6600,2984,29603,3767,93358,4070,5120,6193,2981,10100,1516,711.419983
9680,3778,2340,3495,9120,12693,736562,68100,2200,5460,3360,5080,6375,2900,28903,3666,93358,4093,5280,6413,2943,10350,1522,741.549988
9800,3778,2240,3350,8950,12007,773358,68400,2135,5160,3370,5392,6500,2891,29019,3564,93358,4042,5400,6173,2966,10000,1640,null
9800,3693,2180,3260,8740,12136,670237,68000,2240,5200,3315,5140,5850,2835,28435,3613,93358,4079,5100,6413,2962,9460,1602,748.72998
9750,3589,2110,3245,8410,12479,736562,69700,2330,4930,3300,5131,5900,2825,28611,3767,93358,3937,5120,6514,2989,9600,1610,751.390015
9880,3589,2100,3265,8870,12436,751299,69700,2350,5330,3250,5227,6025,2811,28815,3775,93358,3785,5100,6734,3206,9520,1600,747.650024
9750,3660,2100,3260,9100,12865,721832,69500,2355,5300,3250,5227,6125,2816,28873,3864,93358,3804,4950,6674,3175,9370,1638,721.02002
9780,3542,2100,3330,9120,12908,670237,68500,2435,5300,3240,6195,5775,2858,28406,3807,93358,3685,5050,6373,3330,9520,1590,722.940002
9730,3542,2140,3305,9310,12865,684966,69200,2330,5200,3200,6307,6300,2849,28640,3755,93358,3767,4955,6814,3411,9890,1658,739.039978
9600,3523,2120,3395,9150,12093,747599,68400,2305,5070,3155,7508,5900,2923,28143,3678,93358,3813,4980,6774,3523,9900,1562,722.619995
9790,3325,2195,3600,9200,12050,721832,68000,2195,5390,3190,6567,5900,3040,28581,3637,93358,3785,5210,6734,3601,10050,1558,718.880005
9600,3334,2200,3510,9450,12908,732870,67400,2210,5840,3120,7284,5500,2984,28961,3767,93358,3740,5170,6474,3415,8990,1568,728.880005
9600,3259,2210,3425,9370,12994,714433,67700,2105,5630,3150,6842,5300,3021,28903,3767,93358,3717,5000,6614,3605,9090,1592,733.719971
9600,2909,2195,3420,9290,12822,681274,66200,2175,5510,3070,7197,5100,3124,28435,3965,93358,3703,4955,6313,3822,9000,1540,726.630005
9840,2919,2195,3445,9640,12350,710733,68200,2170,5600,3050,6351,5350,3170,28698,3852,93358,3772,5000,6253,3787,9210,1600,713.409973
9450,2843,2170,3500,9230,13208,714433,68300,2080,5410,2915,7163,5250,2984,28289,3872,93358,3666,5030,5933,3659,8990,1530,690.929993
9500,3438,2095,3520,9330,13808,766028,68200,2030,5400,2905,7475,5100,3054,28027,3828,93358,3598,4960,6153,3671,9170,1522,690.950012
9500,3433,2045,3480,9390,15738,736562,67900,2075,5180,2835,6990,5025,2974,26333,3868,93358,3414,5050,5912,3326,8900,1530,677.73999
9500,3211,2085,3410,9000,15438,699703,67700,2095,5280,2820,6567,4925,2914,26976,3743,93614,3345,5080,6193,3098,8800,1540,677.549988
9500,4203,2075,3470,9130,13465,688674,68000,2095,5370,2790,6584,5000,2984,26801,3694,123556,3501,5350,6454,3016,8710,1570,663.090027
9410,4534,2020,3310,9400,12265,677644,68500,1990,5210,2770,6921,4975,3026,26684,3427,114244,3620,5830,6734,2985,8950,1598,658.460022
9580,3873,2000,3290,9210,12179,659207,68000,2080,5020,2810,6696,4825,2993,26509,3508,90836,3804,6920,6474,3005,8750,1896,null
9690,4714,1980,3310,9400,12350,651808,69300,2050,5170,2730,6533,4650,3161,26100,3532,72967,4675,7950,6033,2637,9080,1700,null
9520,4402,2130,3400,9570,12179,640778,67200,1995,5100,2690,6549,4600,3012,25282,3443,61906,4010,6300,6213,2842,9390,1590,null
9440,4817,2110,3275,9460,12093,622349,69000,2000,5000,2685,6177,4650,3254,25078,3621,52833,3643,5670,6133,2811,9180,1564,636.700012
9150,4544,2085,3350,9200,9820,626049,66200,1985,4740,2695,6177,4525,3198,24757,3338,49061,3387,5290,6093,2854,8670,1592,642.099976
9000,4033,2020,3300,9470,10592,666545,66500,2015,4800,2690,5892,4225,3282,23356,3435,51084,3465,5450,6093,2819,8610,1540,591.97998
9150,3504,2005,3220,9210,12393,677644,67100,1930,4820,2725,5884,4400,3217,23356,3386,43522,3437,4870,5973,2675,8850,1522,564.929993
9000,3443,1995,3250,9180,12350,666545,68000,2025,5160,2745,6143,4450,3175,23326,3443,43522,3410,4850,5912,2823,9000,1534,594.320007
9130,3533,2045,3240,8900,10378,603982,66100,1995,5090,2730,5788,4225,3077,23034,3265,41259,3272,4850,5852,2741,9050,1598,603.51001
8810,3339,2020,3245,8800,10807,640778,66900,1960,4990,2720,5624,4125,2961,23326,3216,38240,3350,5130,6093,2625,9470,1522,574.26001
9000,3117,2085,3100,8700,11235,600282,68000,1895,4905,2780,5262,4150,3044,23618,3123,33713,3286,4890,6133,2571,9100,1522,562.789978
9040,3117,2000,2920,8700,11107,592882,67200,1915,4900,2670,5270,4150,2877,23064,3070,36988,3098,4875,6133,2672,9310,1506,576.950012
8810,3079,1965,2810,8100,10035,519228,64000,1750,4800,2585,4881,4250,2816,22538,3058,35221,2768,4530,5632,2400,8390,1454,586.570007
8690,3613,1900,2765,8200,10378,533957,66300,1870,4600,2400,4968,4350,2760,22421,2997,37230,2800,4505,5832,2579,8450,1440,606.599976
8640,3604,1920,2715,8170,11021,552386,62000,1795,4350,2250,4536,4475,2709,22188,2941,35221,2699,4370,5611,2342,8550,1520,612.109985
8300,3750,1970,2880,8290,12000,526620,64500,1690,4010,2285,4449,4475,2737,21954,3224,33456,2754,4505,5331,2400,8740,1558,595.679993
8300,3604,2010,2955,8160,11900,500861,64300,1650,3530,2235,4517,3850,2699,21429,3038,28431,2685,4300,5291,2377,8300,1540,null
8270,3400,1995,2600,7700,11800,471402,63400,1525,3080,2140,4155,3550,2760,22304,3038,25910,2617,4080,5371,2091,7900,1600,578.380005
8140,3920,1990,2575,8250,12300,500861,62300,1620,3235,2195,4362,3550,2657,23180,3013,27419,2731,4100,5973,2218,8120,1560,605.809998
8100,3703,1930,2575,8300,12000,519228,62000,1595,3380,2260,4925,3500,2657,23326,3062,26664,2699,4235,6093,2385,8060,1530,601.570007
8100,3873,1910,2610,8010,11900,570823,59700,1465,3435,2200,4950,3525,2681,22976,3358,33456,2800,4320,6113,2381,8250,1508,606.809998
8380,4118,1835,2620,7800,11500,585553,58200,1485,3200,2195,4915,3725,2639,21399,3240,37230,2672,4145,5973,2308,8200,1526,588.719971
8090,4118,1780,2600,7800,11600,637078,56600,1390,3150,2180,4717,3650,2518,21691,3135,35719,2828,4105,5933,2195,8110,1560,576.440002
8050,4081,1910,2615,7860,11450,640778,56700,1385,3200,2225,4674,3800,2480,21487,3103,31706,2773,4350,5772,2230,8570,1600,548.440002
7940,4066,1950,2570,7760,11400,640778,55800,1340,3120,2185,4777,3850,2424,21020,3078,29683,2878,4570,5872,2203,8300,1590,514.820007
7850,3731,2060,2700,7880,11550,592882,56700,1420,3205,2205,4856,3775,2457,21312,3001,30694,2800,4315,5872,2207,8300,1600,557.109985
7700,3835,2080,2665,7950,12200,607612,58500,1435,3190,2220,4881,3675,2490,21604,3038,28173,2754,4290,5933,2230,8350,1600,536.200012
7800,3741,2060,2850,8250,12100,607612,60700,1490,3295,2270,5063,3850,2504,21896,3062,28431,2786,4515,6514,2284,8620,1688,501.089996
7900,3821,2160,2690,8200,11850,615019,61900,1460,3720,2325,4838,3950,2536,21604,3159,32702,2782,4470,6393,2315,8650,1646,510.190002
7900,3920,2175,2800,8390,12000,633441,60600,1465,3975,2315,5029,3925,2490,21779,3078,30951,2750,4320,6393,2269,8600,1900,540.679993
7880,3778,2050,2700,8500,11350,629741,59400,1465,4000,2270,5287,3675,2466,21779,3026,31946,2708,4270,6253,2246,8550,1900,555.109985
7930,3826,1960,2770,8680,11500,640778,62800,1440,4220,2260,5115,3600,2518,21779,3111,28688,2676,4140,6454,2292,8500,1716,527.359985
7920,3873,1980,2960,8610,11500,648178,61200,1390,4150,2210,4881,3625,2564,21808,3078,26921,2649,4040,6554,2350,8600,1740,539.929993
7920,3778,2005,2800,8380,11300,651808,64600,1400,3970,2265,4717,3650,2476,21575,3147,27419,2603,4095,6534,2315,8410,1730,528.27002
7900,3216,1980,2765,8110,10850,662907,65200,1385,4010,2265,4647,3600,2518,21078,3046,28688,2640,4010,6794,2362,8530,1860,528.590027
7900,3556,1905,2645,8060,10300,651808,64800,1425,3780,2220,4354,3425,2434,19794,3070,26921,2603,4070,6213,2342,8500,1794,514.820007
7900,3495,2005,3020,8050,10350,626049,66600,1440,3870,2160,4432,3475,2471,18976,3074,24401,2594,3920,6634,2292,8900,1822,497.589996
8090,3363,2035,2735,8150,10100,637078,67800,1440,4050,2140,4621,3425,2396,19327,2620,24401,2699,3960,6413,2377,8640,1740,524.690002
7800,3353,2020,2750,8010,10450,666545,67500,1480,3910,2150,4501,3300,2322,18451,2491,24143,2649,4310,6173,2385,8840,1728,543.940002
