cj_preshway,CMG,CNH,CS,DMS,EG,GMR,GS,HB,HRS,Imbc,JW,JYP Ent,KB,KCC,KCI,KD,KG_M,KG_E,KH,KMH_hitex,KTH,KT,KOSPI
6030,1022,1210,6066,16200,3229,366777,80000,3600,2285,8000,4829,199100,1585,10860,1814,220447,6918,2230,9000,3734,4150,1280,729.859985
6090,1107,1200,5863,16200,3315,383695,80600,3815,2315,8030,4407,203760,1650,10714,1960,214411,6947,2235,8980,3860,4070,1296,714.969971
6010,1087,1200,6037,16200,3199,352040,78600,3925,2375,8130,4467,208440,1576,10510,1936,206352,7181,2255,9080,3695,4020,1256,691.799988
6130,1067,1195,6027,16250,3254,363825,81300,3910,2350,8200,4397,205320,1613,10860,1903,204600,7006,2385,9020,3589,3995,1270,679.090027
6080,1093,1150,6394,15300,3293,372666,80500,3780,2360,8020,4501,199100,1585,10539,2025,203848,6626,2330,9020,3536,3970,1270,690.72998
5990,1074,1170,6945,14800,3370,330667,80700,3600,2375,7920,4293,207660,1557,10685,1972,215423,6626,2240,8959,3602,3945,1232,687.369995
6070,1093,1130,6926,15000,3345,342444,81000,3655,2395,7710,4449,212320,1580,10568,2049,227752,6860,2265,9060,3496,4015,1224,688.039978
6000,1107,1150,6288,14000,3362,350599,80000,3520,2355,7790,4561,208440,1757,10510,1948,250148,6626,2350,8980,3582,3975,1230,703.460022
6150,1054,1150,5911,13900,3293,352040,78000,3450,2300,7400,4579,209980,1781,10568,1956,258208,6860,2230,8798,3635,3920,1212,694.830017
6120,1093,1135,5670,13450,3139,368966,76100,3480,2215,6920,4492,200660,1590,10568,2025,296965,7094,2260,8238,3239,3780,1220,687.52002
6390,1087,1110,5140,14000,3027,433780,78600,3175,2160,6330,4544,163320,1501,10451,2033,296210,7327,2310,8258,3071,3615,1216,690.5
6530,1067,1120,5420,14700,3023,425695,79000,3260,2240,6600,4699,161760,1604,10189,2009,301990,7648,2230,8378,3038,3710,1202,694.469971
6310,1041,1145,5710,13800,3044,503813,79000,3185,2190,6600,4579,167980,1576,10510,2041,240340,7240,2240,8238,2969,3630,1200,null
6600,1107,1165,6400,14550,3053,562730,80100,3280,2195,6800,4449,172660,1594,10451,2345,278342,7678,2265,8438,2936,3700,1256,null
6680,1113,1110,5920,14150,3173,522927,81000,3150,2230,6500,4579,178880,1604,10568,2268,295697,6744,2335,8238,2836,3640,1200,null
6770,1022,1095,5950,14300,3164,470646,81500,3300,2220,6650,4821,178100,1604,10393,2187,252671,7006,2330,8017,2899,3800,1236,700.809998
6410,1041,1115,6100,14600,3109,525872,81000,3140,2360,6420,4457,172660,1594,10714,2074,206864,6538,2310,8017,2714,3775,1174,700.570007
6300,1067,1070,6520,14050,3130,438991,79600,3120,2335,6380,4492,176540,1585,10772,2309,200827,6714,2355,8017,2744,3705,1182,678.77002
6160,1060,1095,5640,13500,3070,394040,77000,2915,2300,6000,4146,186660,1534,10597,2138,184710,5839,2485,7937,2441,3695,1196,666.559998
6160,1093,1110,5640,13900,3387,419051,79500,2965,2375,5660,4164,208440,1585,10714,2086,173647,5511,2510,7897,2507,3750,1174,653.299988
6140,1093,1115,5300,14600,3001,444132,78300,2925,2300,6490,4242,207660,1557,10539,2155,162569,5330,2550,7616,2473,3750,1174,655.219971
6180,1041,1120,5270,14350,2967,477291,76700,2935,2260,6050,4233,211540,1538,10481,2333,197040,5727,2420,7656,2524,3745,1174,644.380005
6280,1067,1120,5290,14350,2959,472835,77200,3100,2315,6090,4362,210760,1557,10802,2511,182206,5634,2315,7616,2705,3690,1200,625.440002
6330,1113,1100,5460,14600,3027,469135,78400,3390,2475,5930,4407,192880,1585,10685,2422,177919,5307,2275,7396,2606,3710,1198,623.929993
6200,1060,1150,5630,14350,2950,594393,77200,3270,2480,5800,3801,186660,1580,10802,2454,169360,5476,2300,7616,2632,3585,1196,646.859985
6120,995,1075,5390,14050,2933,512646,79100,3100,2385,5480,3801,180440,1585,10656,2430,155780,5195,2255,7536,2540,3590,1170,644.440002
5840,1014,1135,5350,13800,3036,553897,77000,3080,2395,5470,3585,185880,1566,10510,2434,161815,4612,2270,7516,2487,3600,1154,null
6000,962,1120,5200,14650,2959,459617,76700,3200,2285,5210,4233,181220,1627,10422,2511,182206,4612,2325,7816,2441,3650,1160,644.679993
5740,922,1135,5500,15600,3053,507435,77900,3290,2240,5510,4656,183540,1632,10656,2754,197040,4793,2250,7937,2375,3785,1160,642.25
5770,936,1150,5700,15700,3044,497169,75500,3280,2275,5600,5331,194440,1799,10510,2945,188498,5108,2280,8198,2361,3730,1136,627.679993
5770,995,1135,6170,15200,2984,466946,73000,3160,2255,5640,5788,188220,1767,10568,2924,175396,5207,2350,8017,2496,3720,1160,607.48999
5680,949,1140,6200,16100,2976,474346,71000,3260,2265,5500,6298,195980,1743,10422,2997,197040,5195,2800,8098,2473,3750,1134,612.820007
5670,1080,1100,6290,16050,2920,489076,71500,3310,2275,5540,6351,191320,1669,10685,2932,191516,5108,2555,8178,2507,3710,1150,618.219971
5730,1001,1120,5900,16050,3001,470646,71000,3195,2265,5840,6263,186660,1674,10743,3062,209386,5337,2705,8017,2514,3725,1140,619.669983
5730,1034,1060,5900,15900,2967,422751,72500,3215,2240,5930,6160,185100,1725,10918,3265,211890,5353,2435,8058,2632,3770,1132,621.5
5650,1034,1080,6260,15950,3036,433780,73500,3185,2245,6140,6056,185100,1641,11473,3212,198805,5810,2430,8078,2559,3905,1160,598.130005
5400,1133,1080,6370,16100,3019,427206,73900,3360,2280,6500,7993,183540,1650,11094,3038,189751,6801,2420,8017,2572,4150,1162,577.869995
5430,1107,1055,6520,15950,3036,427206,74500,3410,2270,6360,7560,184320,1641,11356,3200,181691,8028,2400,8298,2711,4240,1174,584.590027
5370,1120,1065,7300,15800,3036,556086,74300,3465,2290,6680,8485,182760,1715,11502,3135,191002,7969,2450,8178,2665,4330,1240,559.77002
5470,1127,1045,7040,16300,3087,512646,76300,3375,2325,6570,9721,182760,1781,11473,3135,184710,8466,2480,8218,2668,4325,1236,569.469971
5530,1160,1025,7010,15900,3079,490517,74600,3440,2290,6410,7829,179660,1762,11094,2997,182958,8991,2550,8338,2648,4350,1160,602.98999
5430,1146,1025,6800,15900,3079,499357,76000,3400,2300,6650,7768,182760,1771,11327,2941,193524,8816,2520,8338,2596,4280,1162,596.330017
5550,1160,1035,6490,15800,2997,607612,74100,3470,2270,6600,7915,185100,1771,11094,2916,198805,8144,2505,8138,2596,4305,1200,549.309998
5610,1080,1040,6910,16350,3023,704159,74000,3500,2295,6600,7984,181980,1734,11269,3265,192769,9312,2530,8098,2609,4450,1160,522.390015
5630,1067,1080,7150,16200,2963,840376,74500,3580,2290,6570,8642,185880,1846,11502,3013,185464,9429,2650,7977,2562,4410,1170,500.049988
5590,1146,1075,8220,16850,2946,738003,75600,3505,2310,6820,8381,184320,1818,11444,3038,187727,9692,2600,7977,2632,4430,1164,499.649994
5810,1179,1090,7650,16950,3001,928075,77400,3470,2350,6600,7855,181980,1729,11823,3143,197040,8759,2600,8158,2701,4500,1200,476.079987
5810,1397,1070,7150,16450,3001,1154188,77700,3370,2310,6460,6290,213100,1809,11794,2855,186474,8203,2605,8038,2593,4520,1146,497.109985
5840,1555,1060,7070,16000,3074,1325823,76400,3695,2295,6450,6351,199880,1753,11502,3119,185979,8466,2490,8078,2540,4300,1160,514.080017
5950,1885,1050,7300,16250,2959,1128421,76000,3410,2255,6300,6489,222440,1743,11823,3078,178673,8232,2490,8058,2559,4245,1166,547.330017
6000,1793,1045,7970,16700,3023,1005367,77100,3450,2275,6310,6739,235660,1809,11999,2997,177919,9284,2435,8058,2731,4200,1162,555.210022
6040,1978,1050,7530,16500,2967,918479,77000,3400,2270,6550,6222,248880,1734,12086,2941,177421,8700,2540,8258,2767,4380,1170,554.380005
6130,2307,1030,7850,16150,2989,851468,76200,3330,2275,6990,6317,234100,1725,12378,3062,180936,9196,2790,8778,2840,4400,1200,501.450012
6050,1964,1025,7320,15650,3044,836739,74200,3135,2250,7450,6307,234100,1688,11969,2957,174900,8466,2685,8558,2757,4230,1200,521.619995
6240,2327,1060,7340,15250,3027,793236,72500,3065,2240,7350,6195,234100,1552,12261,2754,171127,8174,2585,8358,2691,4085,1256,521.330017
