Date,Open,High,Low,Close,Adj Close,Volume
2000-02-04,521.630005,527.289978,521.630005,525.520020,525.520020,10451000
2000-02-07,525.520020,532.400024,525.520020,532.390015,532.390015,9181000
2000-02-08,532.390015,539.150024,532.390015,537.489990,537.489990,10477000
2000-02-09,537.510010,541.429993,534.900024,536.000000,536.000000,10505000
2000-02-10,536.010010,542.210022,536.010010,542.210022,542.210022,10588000
2000-02-11,542.210022,544.020020,534.640015,537.099976,537.099976,10257000
2000-02-14,537.099976,539.940002,533.510010,539.940002,539.940002,9273000
2000-02-15,539.979980,540.359985,533.080017,540.239990,540.239990,10921000
2000-02-16,540.239990,549.679993,540.239990,547.760010,547.760010,10188000
2000-02-17,547.760010,559.080017,547.760010,558.419983,558.419983,10348000
2000-02-18,558.419983,560.349976,544.330017,545.679993,545.679993,10423000
2000-02-22,545.679993,547.549988,531.400024,540.950012,540.950012,9800000
2000-02-23,540.950012,549.929993,540.950012,549.909973,549.909973,9937000
2000-02-24,549.909973,556.239990,547.330017,554.039978,554.039978,12150000
2000-02-25,554.039978,561.049988,554.039978,556.739990,556.739990,10652000
2000-02-28,556.739990,559.809998,548.130005,557.679993,557.679993,10265000
2000-02-29,557.679993,577.719971,557.679993,577.710022,577.710022,12043000
2000-03-01,577.710022,589.380005,577.710022,588.349976,588.349976,12741000
2000-03-02,588.349976,591.409973,579.799988,584.039978,584.039978,11986000
2000-03-03,583.909973,597.880005,583.909973,597.880005,597.880005,11503000
2000-03-06,598.190002,604.010010,598.190002,601.640015,601.640015,10290000
2000-03-07,601.619995,606.869995,595.150024,595.469971,595.469971,13141000
2000-03-08,595.469971,600.390015,579.159973,594.679993,594.679993,12030000
2000-03-09,594.739990,606.049988,591.700012,606.049988,606.049988,11230000
2000-03-10,606.109985,614.159973,603.799988,603.809998,603.809998,11388000
2000-03-13,603.809998,603.809998,582.919983,590.140015,590.140015,10161000
2000-03-14,590.140015,600.530029,572.559998,572.989990,572.989990,10940000
2000-03-15,572.989990,576.479980,556.429993,558.869995,558.869995,13028000
2000-03-16,558.880005,574.239990,546.219971,574.239990,574.239990,14823000
2000-03-17,574.239990,576.580017,567.369995,574.770020,574.770020,12951000
2000-03-20,574.789978,574.789978,548.820007,549.200012,549.200012,9208000
2000-03-21,549.200012,552.789978,530.869995,552.789978,552.789978,10659000
2000-03-22,552.789978,571.239990,552.789978,571.190002,571.190002,10750000
2000-03-23,571.190002,577.909973,571.190002,573.789978,573.789978,10783000
2000-03-24,573.789978,583.270020,571.200012,574.010010,574.010010,10522000
2000-03-27,574.010010,577.799988,572.640015,573.650024,573.650024,9010000
2000-03-28,573.650024,573.650024,559.039978,559.039978,559.039978,9591000
2000-03-29,559.039978,561.770020,541.359985,543.000000,543.000000,10619000
2000-03-30,543.000000,545.890015,524.270020,531.570007,531.570007,11934000
2000-03-31,531.570007,544.320007,526.929993,539.090027,539.090027,12274000
2000-04-03,539.020020,539.469971,515.559998,516.039978,516.039978,10217000
2000-04-04,516.010010,520.130005,464.079987,506.119995,506.119995,15154600
2000-04-05,506.119995,526.130005,494.589996,518.039978,518.039978,11103000
