Date,Open,High,Low,Close,Adj Close,Volume
2015-02-04,1191.560059,1198.949951,1189.339966,1191.439941,1191.439941,41419200
2015-02-05,1195.500000,1209.900024,1195.410034,1208.709961,1208.709961,38219900
2015-02-06,1209.739990,1214.709961,1202.160034,1205.459961,1205.459961,42329700
2015-02-09,1202.260010,1208.280029,1195.380005,1195.829956,1195.829956,35495400
2015-02-10,1202.609985,1205.119995,1190.270020,1203.180054,1203.180054,36698500
2015-02-11,1201.250000,1204.439941,1195.280029,1201.550049,1201.550049,35968600
2015-02-12,1207.599976,1216.270020,1206.750000,1216.270020,1216.270020,37883500
2015-02-13,1218.050049,1223.739990,1214.930054,1223.130005,1223.130005,35274500
2015-02-17,1223.099976,1227.180054,1221.040039,1225.010010,1225.010010,33617500
2015-02-18,1222.560059,1227.979980,1219.839966,1227.949951,1227.949951,33700200
2015-02-19,1225.089966,1230.500000,1222.849976,1227.910034,1227.910034,32471000
2015-02-20,1228.119995,1231.920044,1218.290039,1231.790039,1231.790039,32816000
2015-02-23,1230.219971,1231.839966,1222.640015,1231.829956,1231.829956,30936800
2015-02-24,1232.239990,1236.199951,1230.069946,1233.979980,1233.979980,31998400
2015-02-25,1233.239990,1236.880005,1230.949951,1235.099976,1235.099976,33123400
2015-02-26,1234.670044,1239.219971,1231.699951,1239.109985,1239.109985,34086900
2015-02-27,1238.140015,1239.670044,1233.260010,1233.369995,1233.369995,35473800
2015-03-02,1233.390015,1243.329956,1232.670044,1242.619995,1242.619995,34094900
2015-03-03,1238.790039,1238.939941,1230.739990,1234.760010,1234.760010,32623000
2015-03-04,1232.150024,1232.619995,1224.630005,1230.729980,1230.729980,34211100
2015-03-05,1232.890015,1236.050049,1228.849976,1234.310059,1234.310059,31030300
2015-03-06,1227.880005,1231.089966,1216.219971,1217.520020,1217.520020,38535700
2015-03-09,1220.479980,1225.829956,1218.760010,1223.589966,1223.589966,33490900
2015-03-10,1213.930054,1213.939941,1206.319946,1208.469971,1208.469971,36689000
2015-03-11,1209.989990,1216.500000,1206.109985,1215.780029,1215.780029,34065700
2015-03-12,1221.459961,1236.680054,1221.260010,1236.640015,1236.640015,34058600
2015-03-13,1235.589966,1236.780029,1220.010010,1232.140015,1232.140015,34985600
2015-03-16,1237.079956,1241.109985,1235.699951,1239.780029,1239.780029,32956000
2015-03-17,1235.900024,1243.329956,1234.660034,1242.229980,1242.229980,32218400
2015-03-18,1239.839966,1255.680054,1235.489990,1252.140015,1252.140015,41282100
2015-03-19,1249.260010,1254.890015,1248.479980,1254.859985,1254.859985,33052200
2015-03-20,1259.709961,1267.219971,1259.709961,1266.369995,1266.369995,55541200
2015-03-23,1264.170044,1268.160034,1262.949951,1264.709961,1264.709961,32679600
2015-03-24,1264.060059,1268.079956,1262.410034,1263.459961,1263.459961,31898200
2015-03-25,1265.579956,1265.849976,1233.550049,1233.849976,1233.849976,35211400
2015-03-26,1228.800049,1237.359985,1225.469971,1231.989990,1231.989990,35106700
2015-03-27,1231.670044,1240.760010,1229.380005,1240.410034,1240.410034,30085500
2015-03-30,1246.689941,1258.239990,1246.689941,1257.800049,1257.800049,29176900
2015-03-31,1252.640015,1255.300049,1248.910034,1252.770020,1252.770020,33765500
2015-04-01,1250.989990,1251.890015,1239.599976,1251.709961,1251.709961,35432700
2015-04-02,1252.180054,1259.969971,1251.829956,1255.660034,1255.660034,30959600
2015-04-06,1250.239990,1262.760010,1249.349976,1260.540039,1260.540039,33029700
2015-04-07,1260.300049,1263.229980,1253.290039,1253.359985,1253.359985,30655100
2015-04-08,1254.390015,1264.130005,1254.359985,1262.709961,1262.709961,32653300
2015-04-09,1262.540039,1265.780029,1248.170044,1259.109985,1259.109985,31723600
2015-04-10,1263.729980,1266.000000,1262.319946,1264.770020,1264.770020,5362000
2015-04-13,1265.489990,1271.739990,1265.050049,1265.589966,1265.589966,29084200
2015-04-14,1266.680054,1267.969971,1258.530029,1265.349976,1265.349976,33012700
2015-04-15,1269.650024,1278.630005,1268.819946,1275.349976,1275.349976,40137600
2015-04-16,1273.479980,1275.280029,1271.109985,1272.900024,1272.900024,34341200
2015-04-17,1264.219971,1264.219971,1248.229980,1251.859985,1251.859985,36276000
2015-04-20,1257.609985,1266.979980,1255.750000,1264.920044,1264.920044,30001600
2015-04-21,1269.319946,1270.079956,1263.589966,1264.150024,1264.150024,32434100
2015-04-22,1265.010010,1266.560059,1255.040039,1265.479980,1265.479980,33484800
2015-04-23,1263.660034,1273.250000,1262.410034,1271.540039,1271.540039,36366700
2015-04-24,1272.800049,1273.079956,1266.219971,1267.540039,1267.540039,33757800
2015-04-27,1269.869995,1275.839966,1250.449951,1252.699951,1252.699951,34387500
2015-04-28,1252.890015,1260.689941,1242.569946,1259.359985,1259.359985,35462700
2015-04-29,1254.500000,1255.810059,1245.469971,1246.949951,1246.949951,40749700
2015-04-30,1241.400024,1242.770020,1216.099976,1220.130005,1220.130005,45096800
2015-05-01,1223.050049,1229.469971,1218.589966,1228.109985,1228.109985,33793900
2015-05-04,1230.300049,1240.630005,1230.099976,1233.219971,1233.219971,30915800
2015-05-05,1231.770020,1234.040039,1211.780029,1215.420044,1215.420044,37939500
2015-05-06,1221.530029,1222.900024,1211.130005,1219.359985,1219.359985,37922100
