0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
-0.739627386,0.281780339,-0.810909091,0.05915493,-0.985892227,0.205891771,-0.801106298,0.253299412,-0.58946043,-0.71945117,-0.684590401,0.017857143,-0.732426304,0.418649518,0.569796688,0.736047498,-0.953834192,-0.226722499,-0.626257348,0.072227924,-0.412061545,-0.789862109,-0.660329835,-0.238176833,-0.005199307,-0.874730022
-0.723625557,0.260806916,-0.821818182,0.062910798,-0.987678021,0.186679475,-0.843412196,0.238034664,-0.591964655,-0.733494754,-0.687477445,0.064285714,-0.736961451,0.400643087,0.728149235,0.788634436,-0.954708912,-0.214063967,-0.630568256,-0.037706834,-0.424132984,-0.788308409,-0.671184408,-0.213159698,0.010398614,-0.88151805
-0.723625557,0.277617675,-0.843636364,0.092957746,-0.983570695,0.135446686,-0.836534489,0.242804897,-0.591964655,-0.746892655,-0.711295561,0.017857143,-0.755102041,0.354340836,0.628484594,0.669889737,-0.956069589,-0.252039564,-0.663357283,-0.09934758,-0.433236036,-0.813944455,-0.653073463,-0.27141878,-0.064124783,-0.882752237
-0.71219568,0.19740634,-0.850909091,0.049765258,-0.983570695,0.090617996,-0.885691436,0.232946414,-0.618163795,-0.767070218,-0.719234933,0.053571429,-0.75170068,0.331189711,0.583211067,0.683121289,-0.962387015,-0.292758646,-0.683474853,-0.09934758,-0.46351358,-0.813944455,-0.674782609,-0.308773132,-0.143847487,-0.89385992
-0.721339582,0.05587576,-0.869090909,-0.008450704,-0.984910041,0.032981108,-0.905604798,0.103514072,-0.623540014,-0.767393059,-0.719234933,0.003571429,-0.761904762,0.377491961,0.488262419,0.788634436,-0.967829721,-0.264649965,-0.686087524,-0.119016078,-0.455795775,-0.817828705,-0.695172414,-0.341672378,-0.202772964,-0.890157359
-0.728197508,-0.011527378,-0.905454545,-0.109859155,-0.983927854,-0.02337496,-0.933248917,0.093019558,-0.636087446,-0.774656981,-0.729339589,-0.071428571,-0.768707483,0.295176849,0.239048418,0.696352841,-0.972397706,-0.344740452,-0.71626388,-0.261163418,-0.532874883,-0.852786949,-0.738470765,-0.308773132,-0.403812825,-0.909287257
-0.732769459,-0.125680435,-0.869090909,-0.230046948,-0.990624581,-0.061799552,-0.952469177,-0.020830021,-0.673771147,-0.789669088,-0.719956694,-0.125,-0.76984127,0.277170418,0.139383777,0.683121289,-0.979589853,-0.343344644,-0.759634226,-0.306726285,-0.603621432,-0.879976695,-0.767316342,-0.428032899,-0.452339688,-0.928417155
-0.743056349,-0.028498239,-0.898181818,-0.18685446,-0.987499442,0.020172911,-0.94583139,-0.051677532,-0.654045194,-0.779499596,-0.704799711,-0.105357143,-0.784580499,0.356913183,0.220813247,0.854792197,-0.974633103,-0.370057517,-0.752318746,-0.262932091,-0.566417652,-0.859001748,-0.764917541,-0.406785469,-0.409012132,-0.92224622
-0.744199337,0.030579571,-0.905454545,-0.207511737,-0.984642172,0.013768812,-0.934848384,-0.056765782,-0.641463664,-0.778369653,-0.717791411,-0.017857143,-0.772108844,0.372347267,0.230140432,0.854792197,-0.971522986,-0.374293071,-0.684519922,-0.184304269,-0.561965072,-0.859778598,-0.773313343,-0.350925291,-0.393414211,-0.901882135
-0.728197508,-0.034902337,-0.930909091,-0.198122066,-0.98517791,0.003522254,-0.938287238,-0.108602322,-0.641463664,-0.783535109,-0.712017322,-0.026785714,-0.775510204,0.344051447,0.198281283,0.907379135,-0.959276898,-0.377084687,-0.729980405,-0.208419311,-0.561965072,-0.860555448,-0.757661169,-0.308773132,-0.381282496,-0.912372724
